Geneid,N1,N2,T1,T2,T3,T4
A1BG,7,12,35,22,41,46
A1BG-AS1,0,0,7,0,4,5
A1CF,1,21,43,16,37,32
A2M,10,10,43,312,51,56
A2M-AS1,0,0,4,0,5,4
A2ML1,119,45,131,50,100,75
A2MP1,44,0,18,14,15,8
A3GALT2,0,0,25,2,13,20
A4GALT,0,0,17,30,9,34
A4GNT,0,12,6,9,15,26
AA06,0,0,0,0,1,2
AAAS,40,0,13,11,12,44
AACS,0,0,91,56,28,92
AACSP1,30,31,38,17,72,76
AADAC,0,0,5,23,18,19
AADACL2,0,0,2,0,0,6
AADACL2_1,0,0,0,0,1,0
AADACL2-AS1,0,0,3,0,1,6
AADACL2-AS1_1,0,0,0,0,1,0
AADACL3,0,0,36,8,7,29
AADACL4,0,2,34,31,15,19
AADACP1,0,0,6,4,14,9
AADAT,75,32,33,2,26,17
AAGAB,43,34,25,29,46,36
AAK1,117,263,60,735,134,147
AAMDC,0,33,35,55,48,25
AAMP,0,16,42,13,18,36
AANAT,7,0,28,7,3,32
AAR2,0,0,5,4,4,17
AARD,35,0,25,11,17,6
AARS1,64,17,116,67,67,187
AARS2,3,12,36,44,7,128
AARSD1,0,20,2,0,0,0
AASDH,31,15,41,9,47,46
AASDHPPT,8,18,19,19,23,25
AASS,124,132,139,126,165,95
AATBC,35,12,23,11,36,57
AATF,0,7,18,36,12,70
AATK,0,0,11,10,2,61
ABALON,0,0,6,0,9,22
ABAT,28,18,85,13,69,118
ABCA1,55,58,86,58,118,115
ABCA10,0,53,83,103,119,88
ABCA12,0,50,105,68,101,75
ABCA13,43,151,214,171,229,152
ABCA17P,19,37,54,14,38,50
ABCA2,75,0,47,16,15,175
ABCA3,116,10,80,85,64,199
ABCA4,0,18,118,44,62,98
ABCA5,52,71,68,95,97,51
ABCA6,16,28,52,72,42,34
ABCA7,48,3,150,180,124,184
ABCA8,33,0,92,54,65,62
ABCA9,32,16,31,115,39,29
ABCA9-AS1,0,0,3,2,5,3
ABCB1,8,16,68,42,70,35
ABCB10,22,11,53,29,80,68
ABCB11,47,14,39,44,53,10
ABCB11_1,0,1,2,14,7,7
ABCB4,0,42,51,34,33,27
ABCB5,14,57,47,35,70,64
ABCB6,0,8,47,13,54,63
ABCB7,50,20,56,65,92,62
ABCB8,0,8,29,88,12,58
ABCB9,0,3,125,72,51,94
ABCC1,51,0,122,76,162,207
ABCC10,0,29,70,38,46,110
ABCC11,57,46,77,26,68,105
ABCC12,0,17,45,14,32,39
ABCC13,0,53,43,9,52,29
ABCC2,59,44,30,18,36,37
ABCC3,43,0,135,65,103,155
ABCC4,62,39,93,50,93,64
ABCC5,49,75,106,58,135,155
ABCC5-AS1,19,3,21,14,36,11
ABCC6,170,28,113,48,114,131
ABCC6P1,12,23,45,32,38,22
ABCC6P2,0,0,0,0,2,4
ABCC8,34,35,86,51,80,139
ABCC9,34,47,118,73,90,77
ABCD1,0,0,1,0,0,2
ABCD2,0,26,21,8,15,4
ABCD3,13,81,22,24,48,35
ABCD4,0,4,30,26,47,98
ABCE1,15,28,63,34,81,57
ABCF1,0,0,0,4,0,0
ABCF1_2,0,0,0,2,0,0
ABCF1_4,0,2,3,7,0,2
ABCF1_5,0,0,0,2,0,0
ABCF1_6,0,0,0,2,0,0
ABCF2,3,9,6,19,2,5
ABCF2-H2BE1,0,0,0,0,0,1
ABCF3,0,16,22,34,18,61
ABCG1,41,11,40,39,46,34
ABCG2,42,19,45,14,35,69
ABCG4,0,0,44,54,20,68
ABCG5,17,21,33,33,53,47
ABCG8,2,22,36,39,34,69
ABHD1,3,0,10,5,5,29
ABHD10,39,15,40,23,25,22
ABHD11,0,0,0,1,0,0
ABHD12,42,0,18,47,5,47
ABHD12B,0,17,57,53,55,21
